"","state","lon","lat"
"1","Vatican City (Holy See)",12.4583938,41.9074431
"2","United Kingdom (UK)",33.9165549,60.9157
"3","Ukraine",40.2285809,52.379581
"4","Turkey",44.8178449,42.3666999
"5","Switzerland",10.4923401,47.8084546
"6","Sweden",24.1773101,69.0599709
"7","Spain",5.098,45.244
"8","Slovenia",16.6107038,46.876659
"9","Slovakia",22.5589338,49.6138051
"10","Serbia",23.0063095,46.190032
"11","San Marino",12.5167041,43.992075
"12","Russia",179,70
"13","Romania",29.7784,48.265274
"14","Portugal",-6.1891592,42.1543111
"15","Poland",24.1458932,54.9054761
"16","Norway",31.3549999,71.3078
"17","Netherlands",7.2271405,53.6756
"18","Montenegro",20.3574869,43.558743
"19","Monaco",7.4426,43.7519029
"20","Moldova",30.162538,48.491944
"21","Malta",14.5765999,36.0853
"22","Macedonia (FYROM)",24.182,42.535
"23","Luxembourg",6.5309701,50.18282
"24","Lithuania",26.8355914,56.4503209
"25","Liechtenstein",9.6356501,47.2705467
"26","Latvia",28.2414029,58.0855688
"27","Kosovo",21.7898669,43.2688985
"28","Kazakhstan",87.315415,55.4419839
"29","Italy",18.7975999,47.092
"30","Ireland",-5.43191,55.3829415
"31","Iceland",-12.2388001,67.2466
"32","Hungary",22.8981216,48.585234
"33","Greece",29.6527999,41.7488784
"34","Germany",15.0418962,55.0815
"35","Georgia",-80.751429,35.0006589
"36","France",9.6624999,51.1241999
"37","Finland",31.5870999,70.0922932
"38","Estonia",28.2101389,59.7315
"39","Denmark",15.2298,58.02846
"40","Czech Republic",18.8592361,51.0557185
"41","Cyprus",34.6045,35.7071999
"42","Croatia",19.4480523,46.5549857
"43","Bulgaria",28.7292001,44.2152333
"44","Bosnia and Herzegovina",19.621935,45.2766262
"45","Belgium",6.4081241,51.5051449
"46","Belarus",32.7768202,56.1718719
"47","Azerbaijan",50.7458001,41.9594999
"48","Austria",17.1606861,49.0206081
"49","Armenia",46.6342219,41.300993
"50","Andorra",1.786639,42.655791
"51","Albania",21.0572394,42.6610819
